"idd","cluster","NK_cells_resting","Monocytes","Mast_cells_resting","Macrophages_M0","T_cells_regulatory_.Tregs.","T_cells_CD4_memory_resting","Dendritic_cells_resting","Macrophages_M1","B_cells_naive","T_cells_follicular_helper","T_cells_CD8","NK_cells_activated","T_cells_CD4_naive","Dendritic_cells_activated","Eosinophils","B_cells_memory","Mast_cells_activated","T_cells_gamma_delta","T_cells_CD4_memory_activated","Neutrophils","Plasma_cells","Macrophages_M2"
"DT_14_05","TME1",-0.345774718109083,-0.734257092803477,-0.412048278938653,-0.659943257602987,-0.721840030559286,-0.43641459142111,-0.0664262177452756,-1.26413089869421,0.925948884573233,-0.459033687413847,-0.00590456122790109,-1.13893054338888,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,4.94236906649647,-0.378793231545418,1.36870333965547,0.764968968639738
"DT_14_21","TME1",-0.38708831435276,-0.734257092803477,-0.674649041407777,-0.550826610862163,-0.587280261177615,-1.16961342390043,-0.642421722990338,-0.720356265224386,-0.944236992693643,-1.01265459188715,-0.0131234593539388,-0.901807861300573,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,0.985583251503532,0.985223689777245,0.349823747150111,3.16079683581374,1.1729366972702
"DT_14_17","TME1",-0.38708831435276,-0.734257092803477,1.18132808535381,-0.659943257602987,-0.721840030559286,-1.42294253804295,-0.17074870188364,-0.256525741890953,-0.949642810676981,-1.01265459188715,0.0321753066509189,-0.607542040591652,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,2.38377627282001,0.323334573562059,0.018329227491657,2.02368677553035,0.722779177015379
"DT_14_03","TME1",-0.38708831435276,-0.734257092803477,2.53397139720722,-0.218000148514454,-0.721840030559286,-0.444992948294902,-0.773508738482245,-1.91127495109528,-0.932611920260294,-0.872542381680055,-1.03247078785117,-0.757864664148838,-0.0671156055214024,-0.103298673800991,-0.00524320861128664,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.266941053099769,2.3327988031627,0.421282967957258
"DT_14_01","TME1",1.48809965542061,-0.533241681472559,2.07917168130475,0.0345604230708961,-0.697192942515029,-0.224731428991676,-0.343831523595811,-1.08332007202813,-1.10799585691345,-0.724382739017155,-0.716402541337099,-1.54611313587319,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,2.05023337268314,-0.256404834387567
"DT_14_16","TME1",-0.38708831435276,-0.734257092803477,-0.234503399919924,-0.659943257602987,-0.496178815502231,-1.28107407860796,-0.640914160894211,-0.792417999151216,-1.03382846007824,0.482329561760962,1.80279289096876,-1.11431977889554,-0.0671156055214024,0.498759066853057,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,0.345577394105232,1.52982888744142,1.73555041896187,0.403191700439033
"DT_14_08","TME1",-0.38708831435276,-0.734257092803477,0.12684429401252,-0.659943257602987,0.720142671904921,-1.53256863095628,0.258027895456614,-1.41315303673576,-1.02388724119256,0.26786756443358,1.19734638735296,0.240351974704774,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.0478758058086468,0.601275038868009,1.71100177804417,0.491990791190468
"DT_14_19","TME1",-0.38708831435276,-0.734257092803477,-0.264303740020056,-0.443252438609596,-0.721840030559286,-1.24844865234831,0.337719271357995,0.175584885119281,-0.802600674905425,1.0747392704941,0.153991791790113,0.310840477218539,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,0.104665745517445,-0.260793204394025,1.54790024829597,1.55517083957072,0.564468297936355
"DT_14_04","TME1",-0.38708831435276,-0.734257092803477,-0.324654545993941,-0.33156306429528,1.26204455143536,-1.28671335541802,0.279031002768302,-0.928246559439716,-1.13507270973969,-0.74842366390192,-0.333764475327181,-0.978155390501332,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,0.581779958480855,-0.260793204394025,2.9832173836881,4.34942552524765,-0.476810276983573
"DT_14_02","TME1",-0.38708831435276,-0.734257092803477,-0.385266349433149,-0.659943257602987,0.662212606820701,-0.337153303957167,-0.887904390074568,-0.0928752237092207,0.351277721205444,-0.125957445542514,-0.0929658866560745,-1.06166324845269,-0.0671156055214024,13.3529423112069,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,1.89159112652823,1.58071223032359,0.343340423425201
"DT_09_05","TME1",-0.38708831435276,-0.569148519026169,-0.493708420462551,-0.659943257602987,-0.533008670312066,1.20559718986788,0.812442438868701,-1.05073166632833,-0.99220376572236,-1.01265459188715,-0.635427042534208,0.00297067695832294,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.436990928254739,1.67193668386833
"DT_09_02","TME1",-0.38708831435276,-0.734257092803477,-0.267052678571238,-0.659943257602987,-0.721840030559286,1.29494702067465,1.12791294935386,-0.775749803389164,-1.13507270973969,-1.01265459188715,-0.62951130865503,0.211961914158719,-0.0671156055214024,-0.103298673800991,-0.154511267983123,0.268828683840099,-0.293138088150202,-0.120252437638986,-0.260793204394025,-0.378793231545418,-0.44859682562555,1.21533270975739
"DT_09_08","TME1",-0.38708831435276,-0.566135414681964,-0.170571421381963,-0.520090305958047,-0.721840030559286,1.44069354829072,0.30767316602631,-1.30937914071282,-0.441023517396016,-1.01265459188715,-0.673546345768254,-0.26251226947626,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.633265532209212,1.38554991196619
"DT_09_07","TME1",-0.38708831435276,-0.618616659260465,0.0447109304457817,-0.284210344968461,-0.127986675038832,1.14806174081067,0.48751443551136,0.354097746912565,-0.986291900776821,-1.01265459188715,-0.870167367264455,-0.265813311837916,-0.0671156055214024,-0.103298673800991,-0.154511267983123,0.365132304262132,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.45216317454207,0.963593305931616
"DT_12_17","TME1",-0.38708831435276,-0.734257092803477,-0.77395014138028,-0.659943257602987,-0.721840030559286,0.601269382866628,0.0285929653113816,-0.787973706136016,-0.943819423287049,-0.755357876651659,0.092483429558706,-0.488655323220304,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,0.306700739098817,1.57097896071076
