geneName,logFC,adj.P.Val,significance
DHX37,1.3593445893191332,1.0997559950364181e-25,UP Significant
PSEN1,1.063506421305648,1.1363830632576167e-25,UP Significant
TUBA1B,2.091996313760186,1.1506185063751444e-25,UP Significant
CLTC,1.2366771854162089,1.1863299923691017e-25,UP Significant
EXOC3,1.065918146932507,1.2582304949890983e-25,UP Significant
RMND5B,1.151263889204409,1.304092285228908e-25,UP Significant
SLC36A1,1.1137655194784104,1.3414879125843595e-25,UP Significant
PPIL1,1.52715817631824,1.4603489274249236e-25,UP Significant
SSR2,1.9456575417295925,1.597727378192296e-25,UP Significant
SLU7,1.2338408866035429,1.6409947642336186e-25,UP Significant
PA2G4,1.3812518893603327,1.6620206010694888e-25,UP Significant
LYSMD1,1.2174903764248182,1.6721778260234893e-25,UP Significant
DHX57,1.3589158109730404,1.6721778260234893e-25,UP Significant
GTF3C3,1.212296431724758,1.8720930432060712e-25,UP Significant
MND1,1.944449352192735,1.8720930432060712e-25,UP Significant
RNF26,1.4864966093652976,1.8733122019378796e-25,UP Significant
RBMX2,1.0980897671230019,1.8926328123401686e-25,UP Significant
ZNF205,1.0799943871574205,2.0187182184323356e-25,UP Significant
GORASP2,1.3279522545859113,2.0575581132277057e-25,UP Significant
NSMCE2,1.9658626896336306,2.058015110369515e-25,UP Significant
NCLN,1.0439209379217176,2.089592671841353e-25,UP Significant
CDK5,1.0991914014937176,2.1550599462012846e-25,UP Significant
WDR70,1.0930836494415281,2.217159158844443e-25,UP Significant
NAT9,1.39574264594316,2.3309614538129434e-25,UP Significant
PEA15,2.0299639351864918,2.3309614538129434e-25,UP Significant
YKT6,1.5124730379762066,2.36631106732414e-25,UP Significant
DYNLT5,-1.0691070193281667,2.5506809619616705e-25,DOWN Significant
SLC17A5,1.584975985903509,2.7187652595359932e-25,UP Significant
ATP2A2,1.5532388627261735,2.763691597293314e-25,UP Significant
MRPS12,1.0185601625509104,2.8861393610333904e-25,UP Significant
ABT1,1.1030067488978026,2.98820877619729e-25,UP Significant
EIF2B2,1.2527260761025283,2.9914263076833735e-25,UP Significant
CKLF,1.4348218450583134,3.0399155819354263e-25,UP Significant
RBM3,1.7349672517852728,3.0455483330439895e-25,UP Significant
DUSP22,1.4039022403813024,3.1543105519276986e-25,UP Significant
HSPA14,1.1694814851186504,3.375107710957177e-25,UP Significant
ROBO1,3.1713408463130506,3.557319439249115e-25,UP Significant
CDC37,1.035896342072875,3.557319439249115e-25,UP Significant
UBE2C,3.8987331536073526,3.7027280699430637e-25,UP Significant
GTF2F1,1.1813262056749987,3.9073745322143836e-25,UP Significant
RBM8A,1.477821808435567,3.9889916565684814e-25,UP Significant
SAC3D1,1.8205404782114765,4.037576238852738e-25,UP Significant
REPIN1,1.5577071377110032,4.1500328185693845e-25,UP Significant
CTSA,1.8794870804768324,4.518166235837734e-25,UP Significant
RP11-426C22.7,-1.013622233972896,4.570211639979466e-25,DOWN Significant
RGP1,1.2577889299352956,4.970392229068264e-25,UP Significant
METTL2B,1.1221179589698664,5.125668180527111e-25,UP Significant
CREB3L2,1.4719193700281075,5.153762516573057e-25,UP Significant
ILK,1.0032454201160457,5.189604614837287e-25,UP Significant
ZNF143,1.3122367661916887,5.297817164385442e-25,UP Significant
GTPBP3,1.1298150420032353,5.714500363432131e-25,UP Significant
LARS1,1.3843275217770588,6.236159159727655e-25,UP Significant
DNAJC14,1.2655894774100505,6.415716729823409e-25,UP Significant
TRMT1,1.3563492425600976,6.863759096728843e-25,UP Significant
URM1,1.3025429000924822,6.9514445773729715e-25,UP Significant
NME7,1.1450111225046122,7.583308239776471e-25,UP Significant
GIPC1,1.4509930061161915,7.588250460899195e-25,UP Significant
